Row_ID,Order_iD,Order_Date,Order_Priority,Order_Quantity,Sales,Discount,Ship Mode,Profit,Unit_Price,Shipping_Cost,Customer_Name,Province,Region,Customer_Segment,Product_Category,Product_Sub_Category,Product_Name,Product_Container,Product_Base_Margin,Ship_Date
230,1539,09/03/2011,Low,38,185,0.05,Regular Air,-145,5,4.93,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,14/03/2011
231,1540,04/08/2012,High,30,81,0.09,Regular Air,6,3,0.7,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,06/08/2012
249,1702,06/05/2011,High,23,67,0.06,Regular Air,5,3,0.93,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Wrap Bag,0.54,07/05/2011
250,1761,23/12/2010,High,25,12028,0.01,Delivery Truck,-548,450,49,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,25/12/2010
256,1792,08/11/2010,Low,28,370,0.04,Regular Air,-5,13,4.51,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,13/11/2010
330,2275,21/10/2012,Not Specified,49,278,0.08,Regular Air,42,6,1.17,Grant Carroll,Nunavut,Nunavut,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,22/10/2012
331,2277,01/01/2011,Not Specified,10,67,0.01,Regular Air,-46,6,4.38,Don Miller,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,02/01/2011
332,2277,01/01/2011,Not Specified,21,845,0.06,Regular Air,34,41,19.99,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,03/01/2011
362,2532,10/10/2011,High,39,282,0.03,Regular Air,140,7,0.49,Alan Barnes,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,11/10/2011
363,2532,10/10/2011,High,24,426,0.01,Regular Air,-79,21,2.5,Alan Barnes,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,11/10/2011
381,2631,23/09/2010,Low,27,1078,0.08,Regular Air,253,41,1.99,Jack Garza,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,25/09/2010
406,2757,19/07/2011,Critical,39,3554,0.07,Delivery Truck,-1766,96,74.35,Julia West,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,19/07/2011
413,2791,09/10/2009,High,47,192,0,Regular Air,-236,4,7.01,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,09/10/2009
414,2791,09/10/2009,High,49,5586,0.09,Delivery Truck,80,121,30,Eugene Barchas,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs,Jumbo Drum,0.64,11/10/2009
415,2791,09/10/2009,High,18,508,0.1,Regular Air,119,31,5.76,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4,10/10/2009
440,2976,09/12/2010,Not Specified,30,14224,0.09,Delivery Truck,3424,501,26,Edward Hooks,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum,0.6,11/12/2010
471,3232,08/10/2012,Critical,5,43,0.06,Regular Air,-12,8,4.71,Brad Eason,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Small Box,0.35,10/10/2012
513,3524,02/05/2012,High,21,427,0,Regular Air,52,19,9.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,03/05/2012
577,3908,08/03/2010,Medium,8,820,0,Regular Air,-180,116,2.5,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,0.57,08/03/2010
606,4132,28/05/2011,Not Specified,5,15,0.01,Regular Air,1,3,0.5,Aaron Bergman,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,30/05/2011
656,4612,19/09/2010,Medium,9,90,0.06,Regular Air,-376,4,49,Jim Radford,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6,21/09/2010
669,4676,31/08/2011,High,11,1210,0.04,Regular Air,-104,126,7.69,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,01/09/2011
670,4676,31/08/2011,High,50,188,0.03,Regular Air,86,4,0.5,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Labels,Avery 510,Small Box,0.37,02/09/2011
671,4676,31/08/2011,High,3,50,0.07,Express Air,-8,12,6.47,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,0.38,02/09/2011
672,4676,31/08/2011,High,30,4253,0.01,Regular Air,1116,156,8.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,LX 788,Small Box,0.58,01/09/2011
734,5284,08/07/2011,Not Specified,7,59,0.1,Regular Air,-3,9,2.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,10/07/2011
735,5316,30/01/2009,Critical,42,1285,0.1,Regular Air,514,32,1.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,01/02/2009
755,5409,08/01/2012,Low,11,49,0.01,Regular Air,-7,4,2.97,Don Jones,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.35,13/01/2012
769,5506,07/11/2010,Critical,22,130,0.05,Regular Air,4,6,3.04,Beth Thompson,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,08/11/2010
782,5569,29/04/2010,Not Specified,12,119,0.09,Regular Air,0,10,6.22,Frank Price,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,01/05/2010
786,5607,31/12/2011,Not Specified,8,62,0,Regular Air,-50,8,5.03,Michelle Lonsdale,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,03/01/2012
817,5894,12/08/2009,High,7,384,0.1,Regular Air,88,58,1.49,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,13/08/2009
818,5894,12/08/2009,High,3,239,0.01,Regular Air,-68,80,4.5,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.55,15/08/2009
821,5925,12/11/2011,Low,44,3922,0.08,Regular Air,-355,92,39.61,Joy Bell,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,19/11/2011
822,5925,12/11/2011,Low,25,1733,0.07,Regular Air,-267,86,0.99,Joy Bell,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,19/11/2011
839,6016,20/01/2012,High,19,208,0.07,Regular Air,4,11,5.43,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Personal Creations™ Ink Jet Cards and Labels,Small Box,0.36,20/01/2012
853,6116,20/03/2009,Medium,6,9621,0.04,Regular Air,-1760,1638,24.49,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,22/03/2009
863,6182,21/07/2012,Low,40,255,0.04,Regular Air,-117,6,6.65,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.36,28/07/2012
864,6182,21/07/2012,Low,18,130,0.04,Express Air,-67,6,7.86,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,25/07/2012
911,6535,12/06/2012,Critical,11,312,0.07,Express Air,-19,28,8.99,Adrian Hane,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,15/06/2012
950,6884,15/01/2009,Low,41,217,0.01,Regular Air,-61,5,4.75,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,20/01/2009
951,6884,15/01/2009,Low,47,296,0.04,Regular Air,119,6,1.02,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.39,20/01/2009
956,6916,04/06/2010,Low,40,436,0.08,Express Air,-141,11,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box,0.59,08/06/2010
963,6980,18/02/2010,Not Specified,18,136,0.05,Regular Air,-77,7,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,19/02/2010
964,6982,16/11/2011,Not Specified,32,1311,0,Express Air,407,39,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,18/11/2011
965,6982,16/11/2011,Not Specified,5,544,0.09,Delivery Truck,-338,101,57.38,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,18/11/2011
966,6982,16/11/2011,Not Specified,41,844,0.04,Regular Air,53,20,10.49,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,18/11/2011
988,7110,07/08/2011,Low,22,6396,0.02,Regular Air,1902,276,24.49,Grant Carroll,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,0,11/08/2011
1017,7430,08/06/2010,Medium,50,752,0.05,Regular Air,353,16,1.39,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,09/06/2010
1073,7906,17/10/2009,Medium,37,1003,0.03,Regular Air,272,26,5.37,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.5,17/10/2009
1154,8391,28/08/2011,High,4,1267,0.04,Delivery Truck,-268,301,64.73,Sylvia Foulston,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,29/08/2011
1156,8419,29/09/2011,Critical,19,368,0.07,Express Air,70,20,5.97,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,0.38,01/10/2011
1157,8419,29/09/2011,Critical,24,153,0.1,Regular Air,-87,6,7.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,30/09/2011
1205,8833,04/05/2012,Low,40,3339,0,Regular Air,-847,81,35,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,08/05/2012
1226,8995,17/05/2011,High,5,24,0.08,Express Air,8,2,1.49,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,18/05/2011
1227,8995,17/05/2011,High,41,271,0.1,Express Air,-78,6,5.86,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,0.36,18/05/2011
1228,8995,17/05/2011,High,35,3390,0.08,Express Air,738,102,21.26,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.59,18/05/2011
1229,8995,17/05/2011,High,42,266,0.07,Regular Air,-191,6,8.19,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.37,18/05/2011
1230,8995,17/05/2011,High,46,89,0.01,Regular Air,-21,2,0.76,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,19/05/2011
1258,9126,17/11/2009,Medium,47,2800,0.04,Regular Air,884,62,3.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,18/11/2009
1259,9127,10/10/2011,Not Specified,7,2040,0.04,Express Air,-329,279,35,Bryan Davis,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,12/10/2011
1299,9509,07/10/2012,Not Specified,36,12176,0.02,Delivery Truck,2825,321,58.95,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,08/10/2012
1300,9509,07/10/2012,Not Specified,5,101,0.1,Express Air,2,19,5.21,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,0.37,08/10/2012
1301,9509,07/10/2012,Not Specified,32,1586,0.02,Regular Air,707,49,5.81,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,0.38,07/10/2012
1337,9763,13/08/2011,Medium,44,176,0.07,Regular Air,75,4,0.5,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39,16/08/2011
1370,9927,16/08/2011,High,32,4655,0,Delivery Truck,-271,141,53.48,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,17/08/2011
1371,9927,16/08/2011,High,44,10088,0.01,Regular Air,3387,218,18.06,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,17/08/2011
1372,9927,16/08/2011,High,34,1608,0.09,Express Air,-82,51,6.5,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,0.73,17/08/2011
1380,10022,04/03/2009,Low,1,12,0.06,Regular Air,-4,10,2.27,Delfina Latchford,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,04/03/2009
1445,10437,18/08/2009,Critical,50,821,0.01,Regular Air,-191,16,13.18,Don Jones,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,20/08/2009
1457,10499,16/11/2010,Not Specified,29,6251,0.01,Delivery Truck,31,262,62.74,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,17/11/2010
1462,10535,27/05/2011,Low,25,855,0.09,Regular Air,-44,34,19.99,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,"Linden® 12"" Wall Clock With Oak Frame",Small Box,0.55,29/05/2011
1463,10535,27/05/2011,Low,46,80,0.09,Regular Air,-1,2,0.7,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,03/06/2011
1495,10789,23/08/2010,Not Specified,15,309,0,Express Air,76,20,4.1,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,24/08/2010
1496,10791,19/08/2011,Not Specified,20,401,0.05,Regular Air,93,20,5.77,Anthony Johnson,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,0.38,21/08/2011
1513,10945,03/01/2012,Medium,14,1170,0.04,Regular Air,4,96,8.99,Ralph Knight,Northwest Territories,Northwest Territories,Consumer,Technology,Telephones and Communication,600 Series Flip,Small Box,0.57,05/01/2012
1544,11137,29/11/2012,High,48,5189,0.1,Regular Air,395,111,8.64,Allen Rosenblatt,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,0.78,30/11/2012
1551,11202,17/03/2012,Medium,8,340,0.05,Regular Air,80,43,2.99,Barry Weirich,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box,0.39,18/03/2012
1589,11456,12/04/2010,Low,15,1520,0.09,Regular Air,399,105,24.49,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61,19/04/2010
1590,11460,24/08/2010,High,30,102,0.09,Regular Air,38,4,0.5,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Labels,Avery 487,Small Box,0.38,26/08/2010
1594,11495,04/07/2011,High,6,966,0,Delivery Truck,-144,146,43.75,Brendan Dodson,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Jumbo Box,0.65,05/07/2011
1654,11911,10/11/2010,Critical,25,398,0,Regular Air,-15,15,9.73,Edward Hooks,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Binders and Binder Accessories,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Small Box,0.36,12/11/2010
1655,11941,24/06/2010,Critical,4,73,0.08,Regular Air,-41,16,11.25,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,25/06/2010
1656,11941,24/06/2010,Critical,26,4679,0.05,Delivery Truck,112,179,29.21,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box,0.74,25/06/2010
1675,12096,19/09/2012,Medium,46,8010,0.02,Regular Air,2332,201,8.08,Michelle Lonsdale,Northwest Territories,Northwest Territories,Home Office,Technology,Telephones and Communication,5125,Small Box,0.59,19/09/2012
1676,12096,19/09/2012,Medium,23,4690,0.01,Regular Air,2176,194,11.54,Michelle Lonsdale,Northwest Territories,Northwest Territories,Home Office,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp,Large Box,0.59,21/09/2012
1710,12289,24/12/2011,Low,25,3019,0.04,Regular Air,1269,121,7.11,Brendan Dodson,Northwest Territories,Northwest Territories,Corporate,Technology,Office Machines,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Medium Box,0.36,28/12/2011
1718,12352,23/03/2012,Medium,5,37,0.07,Regular Air,-33,6,8.49,Hunter Glantz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,Small Box,0.39,24/03/2012
1727,12419,15/10/2011,Critical,12,22079,0.06,Regular Air,5322,1938,13.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Technology,Office Machines,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Medium Box,0.38,17/10/2011
1745,12485,07/08/2010,Critical,24,5407,0.04,Delivery Truck,1068,227,28.16,Eugene Barchas,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon GuestStacker Chair,Jumbo Drum,0.59,08/08/2010
1751,12544,03/03/2009,Low,34,74,0.08,Regular Air,-129,2,5.33,Jim Radford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Eldon® Wave Desk Accessories,Small Box,0.43,10/03/2009
1770,12704,09/02/2010,Low,44,21507,0.06,Regular Air,1261,500,24.49,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business,Technology,Copiers and Fax,Sharp AL-1530CS Digital Copier,Large Box,0.36,09/02/2010
1771,12704,09/02/2010,Low,28,669,0.02,Delivery Truck,-1274,21,53.03,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.78,11/02/2010
